incident_number,Common Name 1,Common Name 2,Common Name 3,
1603,Louisiana Hurricane Katrina,,,
1606,Texas Hurricane Rita,,,
1607,Louisiana Hurricane Rita,,,
1971,"Alabama Severe Storms, Tornadoes, Straight-line Winds, and Flooding (April 2011 Super Outbreak, includes Tuscaloosa-Birmingham EF4)",,,
1980,"Missouri Severe Storms, Tornadoes, and Flooding (Joplin EF5 Tornado)",,,
4085,New York Hurricane Sandy,,,
4086,New Jersey Hurricane Sandy,,,
4117,Oklahoma Severe Storms and Tornadoes (Moore EF5 Tornado),,,
4277,"Louisiana Severe Storms and Flooding (Great Flood of 2016, Baton Rouge area)",,,
4332,Texas Hurricane Harvey,,,
4337,Florida Hurricane Irma,,,
4353,Thomas Fire,,,
4399,Florida Hurricane Michael (Panama City/Mexico Beach),,,
4407,Camp Fire,Paradise Fire,Butte County Fire,
4465,North Carolina Hurricane Dorian,,,
4559,Louisiana Hurricane Laura,,,
4611,Louisiana Hurricane Ida,,,
4673,Florida Hurricane Ian,,,
4697,Rolling Fork Tornado,,,
4724,Hawaii Wildfires,Maui Wildfires,,
4827,North Carolina Tropical Storm Helene,,,
4828,Florida Hurricane Helene,,,
4834,Florida Hurricane Milton,,,
4784,Greenfield Tornado,Greenfield Iowa Tornado,,
4781,Houston Derecho,,,
4856,Los Angeles Fires,LA Fires,,
4879,Texas Floods,Kerr County Floods,,
4888,Enderlin Tornado,,,
4874,Kentwood Carson Tornado,Kentwood Tornado,Darbun Tornado,Carson Tornado